rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1477388578927055492,,193060,,1477388578,926284779,'',"""\n$GPGGA,094319.90,5603.97724028,N,00823.34467451,E,4,15,0.7,22.143,M,40.732,M,1.9,0015*7D"""
1477388578929084197,,193061,,1477388578,928569928,'',"""\n$GPHDT,127.060,T*37"""
1477388578978285205,,193062,,1477388578,977792305,'',"""\n$GPGGA,094319.95,5603.97717074,N,00823.34463786,E,4,15,0.7,22.154,M,40.732,M,2.0,0015*70"""
1477388578980387922,,193063,,1477388578,979389937,'',"""\n$GPHDT,126.321,T*30"""
1477388579045291680,,193064,,1477388579,45176504,'',"""\n$GPGGA,094320.00,5603.97712235,N,00823.34460126,E,4,15,0.7,22.136,M,40.732,M,2.0,0015*7F"""
1477388579046906565,,193065,,1477388579,46798458,'',"""\n$GPHDT,122.371,T*31"""
1477388579077500764,,193066,,1477388579,77158804,'',"""\n$GPGGA,094320.05,5603.97706560,N,00823.34453689,E,4,15,0.7,22.149,M,40.732,M,2.0,0015*72"""
1477388579080093768,,193067,,1477388579,78829570,'',"""\n$GPHDT,121.270,T*32"""
1477388579127289565,,193068,,1477388579,126991732,'',"""\n$GPGGA,094320.10,5603.97699608,N,00823.34446259,E,4,15,0.7,22.175,M,40.732,M,2.1,0015*7F"""
1477388579128782576,,193069,,1477388579,128655144,'',"""\n$GPHDT,125.059,T*3F"""
1477388579183463740,,193070,,1477388579,177315512,'',"""\n$GPGGA,094320.15,5603.97693007,N,00823.34440318,E,4,15,0.7,22.161,M,40.732,M,2.2,0015*7D"""
1477388579183495696,,193071,,1477388579,178950385,'',"""\n$GPHDT,126.683,T*3D"""
1477388579236475886,,193072,,1477388579,236192366,'',"""\n$GPGGA,094320.20,5603.97687836,N,00823.34436102,E,4,15,0.7,22.165,M,40.732,M,2.2,0015*78"""
1477388579236580975,,193073,,1477388579,236358358,'',"""\n$GPHDT,123.209,T*3E"""
1477388579277787789,,193074,,1477388579,277572052,'',"""\n$GPGGA,094320.25,5603.97682980,N,00823.34431249,E,4,15,0.7,22.171,M,40.732,M,2.3,0015*7B"""
1477388579279502004,,193075,,1477388579,279288824,'',"""\n$GPHDT,120.186,T*39"""
1477388579340001925,,193076,,1477388579,328084766,'',"""\n$GPGGA,094320.30,5603.97675486,N,00823.34425629,E,4,15,0.7,22.178,M,40.732,M,2.3,0015*72"""
1477388579340137778,,193077,,1477388579,330809967,'',"""\n$GPHDT,123.123,T*35"""
1477388579379327009,,193078,,1477388579,379026588,'',"""\n$GPGGA,094320.35,5603.97669435,N,00823.34420187,E,4,15,0.7,22.174,M,40.732,M,2.3,0015*78"""
1477388579379377638,,193079,,1477388579,379191695,'',"""\n$GPHDT,125.778,T*3B"""
1477388579437340280,,193080,,1477388579,436418508,'',"""\n$GPGGA,094320.40,5603.97664545,N,00823.34416367,E,4,15,0.7,22.190,M,40.732,M,2.4,0015*75"""
1477388579437346575,,193081,,1477388579,436446920,'',"""\n$GPHDT,124.442,T*30"""
1477388579478097149,,193082,,1477388579,477604659,'',"""\n$GPGGA,094320.45,5603.97660793,N,00823.34411765,E,4,15,0.7,22.179,M,40.732,M,2.5,0015*7A"""
1477388579479813082,,193083,,1477388579,479229672,'',"""\n$GPHDT,120.843,T*39"""
1477388579537367778,,193084,,1477388579,529415055,'',"""\n$GPGGA,094320.50,5603.97654637,N,00823.34406089,E,4,15,0.7,22.198,M,40.732,M,2.5,0015*7A"""
1477388579537412067,,193085,,1477388579,529901435,'',"""\n$GPHDT,122.339,T*3D"""
